D,m,N,theta,Re_Omega,Re_Ref_Ylm,L_eff,l_pure
0.1,0,1,0.282743,0.466573,0.469202,1.00133,1
0.1,0,1,0.314159,0.461628,0.464689,1.00133,1
0.1,0,1,0.345575,0.456186,0.459717,1.00133,1
0.1,0,1,0.376991,0.450253,0.454291,1.00133,1
0.1,0,1,0.408407,0.443837,0.448417,1.00133,1
0.1,0,1,0.439823,0.436946,0.442101,1.00133,1
0.1,0,1,0.471239,0.429588,0.435348,1.00133,1
0.1,0,1,0.502655,0.421773,0.428166,1.00133,1
0.1,0,1,0.534071,0.413511,0.420561,1.00133,1
0.1,0,1,0.565487,0.404811,0.412541,1.00133,1
0.1,0,1,0.596903,0.395684,0.404114,1.00133,1
0.1,0,1,0.628319,0.386142,0.395288,1.00133,1
0.1,0,1,0.659734,0.376195,0.386072,1.00133,1
0.1,0,1,0.69115,0.365857,0.376475,1.00133,1
0.1,0,1,0.722566,0.35514,0.366506,1.00133,1
0.1,0,1,0.753982,0.344056,0.356176,1.00133,1
0.1,0,1,0.785398,0.332619,0.345494,1.00133,1
0.1,0,1,0.816814,0.320842,0.334471,1.00133,1
0.1,0,1,0.84823,0.30874,0.323119,1.00133,1
0.1,0,1,0.879646,0.296326,0.311447,1.00133,1
0.1,0,1,0.911062,0.283616,0.299468,1.00133,1
0.1,0,1,0.942478,0.270624,0.287193,1.00133,1
0.1,0,1,0.973894,0.257364,0.274635,1.00133,1
0.1,0,1,1.00531,0.243853,0.261806,1.00133,1
0.1,0,1,1.03673,0.230106,0.248719,1.00133,1
0.1,0,1,1.06814,0.216137,0.235386,1.00133,1
0.1,0,1,1.09956,0.201964,0.221821,1.00133,1
0.1,0,1,1.13097,0.187602,0.208037,1.00133,1
0.1,0,1,1.16239,0.173067,0.194047,1.00133,1
0.1,0,1,1.19381,0.158374,0.179867,1.00133,1
0.1,0,1,1.22522,0.143541,0.165508,1.00133,1
0.1,0,1,1.25664,0.128582,0.150986,1.00133,1
0.1,0,1,1.28805,0.113514,0.136316,1.00133,1
0.1,0,1,1.31947,0.0983541,0.121511,1.00133,1
0.1,0,1,1.35088,0.0831171,0.106585,1.00133,1
0.1,0,1,1.3823,0.0678193,0.091555,1.00133,1
0.1,0,1,1.41372,0.0524766,0.0764343,1.00133,1
0.1,0,1,1.44513,0.037105,0.0612381,1.00133,1
0.1,0,1,1.47655,0.0217202,0.0459816,1.00133,1
0.1,0,1,1.50796,0.00633758,0.0306796,1.00133,1
0.1,0,1,1.53938,-0.00902722,0.0153474,1.00133,1
0.1,0,1,1.5708,-0.024359,2.99183e-17,1.00133,1
0.1,0,1,1.60221,-0.0396426,-0.0153474,1.00133,1
0.1,0,1,1.63363,-0.0548631,-0.0306796,1.00133,1
0.1,0,1,1.66504,-0.0700058,-0.0459816,1.00133,1
0.1,0,1,1.69646,-0.0850562,-0.0612381,1.00133,1
0.1,0,1,1.72788,-0.1,-0.0764343,1.00133,1
0.1,0,1,1.75929,-0.114823,-0.091555,1.00133,1
0.1,0,1,1.79071,-0.129512,-0.106585,1.00133,1
0.1,0,1,1.82212,-0.144053,-0.121511,1.00133,1
0.1,0,1,1.85354,-0.158433,-0.136316,1.00133,1
0.1,0,1,1.88496,-0.172638,-0.150986,1.00133,1
0.1,0,1,1.91637,-0.186657,-0.165508,1.00133,1
0.1,0,1,1.94779,-0.200477,-0.179867,1.00133,1
0.1,0,1,1.9792,-0.214085,-0.194047,1.00133,1
0.1,0,1,2.01062,-0.22747,-0.208037,1.00133,1
0.1,0,1,2.04204,-0.240621,-0.221821,1.00133,1
0.1,0,1,2.07345,-0.253525,-0.235386,1.00133,1
0.1,0,1,2.10487,-0.266174,-0.248719,1.00133,1
0.1,0,1,2.13628,-0.278555,-0.261806,1.00133,1
0.1,0,1,2.1677,-0.290658,-0.274635,1.00133,1
0.1,0,1,2.19911,-0.302475,-0.287193,1.00133,1
0.1,0,1,2.23053,-0.313995,-0.299468,1.00133,1
0.1,0,1,2.26195,-0.325208,-0.311447,1.00133,1
0.1,0,1,2.29336,-0.336107,-0.323119,1.00133,1
0.1,0,1,2.32478,-0.346683,-0.334471,1.00133,1
0.1,0,1,2.35619,-0.356927,-0.345494,1.00133,1
0.1,0,1,2.38761,-0.366831,-0.356176,1.00133,1
0.1,0,1,2.41903,-0.376388,-0.366506,1.00133,1
0.1,0,1,2.45044,-0.38559,-0.376475,1.00133,1
0.1,0,1,2.48186,-0.394432,-0.386072,1.00133,1
0.1,0,1,2.51327,-0.402905,-0.395288,1.00133,1
0.1,0,1,2.54469,-0.411004,-0.404114,1.00133,1
0.1,0,1,2.57611,-0.418723,-0.412541,1.00133,1
0.1,0,1,2.60752,-0.426057,-0.420561,1.00133,1
0.1,0,1,2.63894,-0.432999,-0.428166,1.00133,1
0.1,0,1,2.67035,-0.439545,-0.435348,1.00133,1
0.1,0,1,2.70177,-0.445691,-0.442101,1.00133,1
0.1,0,1,2.73319,-0.451432,-0.448417,1.00133,1
0.1,0,1,2.7646,-0.456763,-0.454291,1.00133,1
0.1,0,1,2.79602,-0.461682,-0.459717,1.00133,1
0.1,0,1,2.82743,-0.466184,-0.464689,1.00133,1
0.1,0,1,2.85885,-0.470267,-0.469202,1.00133,1
0.1,0,1,2.89027,-0.473927,-0.473252,1.00133,1
0.1,0,1,2.92168,-0.477163,-0.476835,1.00133,1
0.1,0,1,2.9531,-0.479972,-0.479948,1.00133,1
0.1,0,1,2.98451,-0.482352,-0.482587,1.00133,1
0.1,0,1,3.01593,-0.484302,-0.48475,1.00133,1
0.1,0,1,3.04734,-0.485819,-0.486434,1.00133,1
0.1,0,1,3.07876,-0.486904,-0.487638,1.00133,1
0.1,0,1,3.11018,-0.487555,-0.488361,1.00133,1
0.1,0,1,3.14159,-0.487772,-0.488603,1.00133,1
0.25,0,0,0,0.351963,0.282095,-0.0428903,0
0.25,0,0,0.0314159,0.351923,0.282095,-0.0428903,0
0.25,0,0,0.0628319,0.351804,0.282095,-0.0428903,0
0.25,0,0,0.0942478,0.351605,0.282095,-0.0428903,0
0.25,0,0,0.125664,0.351326,0.282095,-0.0428903,0
0.25,0,0,0.15708,0.35097,0.282095,-0.0428903,0
0.25,0,0,0.188496,0.350534,0.282095,-0.0428903,0
0.25,0,0,0.219911,0.350022,0.282095,-0.0428903,0
0.25,0,0,0.251327,0.349432,0.282095,-0.0428903,0
0.25,0,0,0.282743,0.348766,0.282095,-0.0428903,0
0.25,0,0,0.314159,0.348025,0.282095,-0.0428903,0
0.25,0,0,0.345575,0.347211,0.282095,-0.0428903,0
0.25,0,0,0.376991,0.346323,0.282095,-0.0428903,0
0.25,0,0,0.408407,0.345364,0.282095,-0.0428903,0
0.25,0,0,0.439823,0.344334,0.282095,-0.0428903,0
0.25,0,0,0.471239,0.343236,0.282095,-0.0428903,0
0.25,0,0,0.502655,0.342071,0.282095,-0.0428903,0
0.25,0,0,0.534071,0.34084,0.282095,-0.0428903,0
0.25,0,0,0.565487,0.339545,0.282095,-0.0428903,0
0.25,0,0,0.596903,0.338188,0.282095,-0.0428903,0
0.25,0,0,0.628319,0.336771,0.282095,-0.0428903,0
0.25,0,0,0.659734,0.335296,0.282095,-0.0428903,0
0.25,0,0,0.69115,0.333764,0.282095,-0.0428903,0
0.25,0,0,0.722566,0.332178,0.282095,-0.0428903,0
0.25,0,0,0.753982,0.330541,0.282095,-0.0428903,0
0.25,0,0,0.785398,0.328853,0.282095,-0.0428903,0
0.25,0,0,0.816814,0.327118,0.282095,-0.0428903,0
0.25,0,0,0.84823,0.325337,0.282095,-0.0428903,0
0.25,0,0,0.879646,0.323513,0.282095,-0.0428903,0
0.25,0,0,0.911062,0.321649,0.282095,-0.0428903,0
0.25,0,0,0.942478,0.319746,0.282095,-0.0428903,0
0.25,0,0,0.973894,0.317807,0.282095,-0.0428903,0
0.25,0,0,1.00531,0.315835,0.282095,-0.0428903,0
0.25,0,0,1.03673,0.313832,0.282095,-0.0428903,0
0.25,0,0,1.06814,0.3118,0.282095,-0.0428903,0
